ID,grp,matching_individual,exhaustive_individual,skeptical_individual,secondorder_individual,clarity_individual,reproducibility_individual,matching_group,exhaustive_group,skeptical_group,secondorder_group,clarity_group,reproducibility_group,matching_consumer,exhaustive_consumer,skeptical_consumer,secondorder_consumer,clarity_consumer,reproducibility_consumer
1,1,5,9,4,8,9,10,4,7.5,4.7,7,9,9,6,9,4,3,9,9
2,2,9,7,5,8,9,8,9,7,5,6,8,9,9,7,6,6,9,9
3,2,9,6,5,5,8,10,9,7,5,6,8,9,9,7,6,6,9,9
4,1,6,7,6,4,9,9,4,7.5,4.7,7,9,9,6,9,4,3,9,9
5,4,10,8,3,6,10,10,10,8,5,4,10,9,9,9,6,5,9,6
6,6,10,8,5,5,9,10,10,8,4,5,8,10,10,8,4,5,8,10
7,7,7,9,8,4,9,10,9,9,8,6,9,10,9,10,8,5,9,9
8,3,9,8,9,7,7,9,8,7,9,5,7,9,8,7,9,5,7,9
9,4,8,6,4,7,9,8,10,8,5,4,10,9,9,9,6,5,9,6
10,5,8,7,5,4,6,8,6.5,7,8,4,8,9,8,7,6,3,8,8
11,7,9,10,9,9,9,9,9,9,8,6,9,9,9,10,8,5,9,9
12,5,8,5,8,4,8,8,6.5,7,8,4,8.5,9,8,7,6,3,8,8
13,6,10,8,4,8,7,10,10,8,4,5,8,10,10,8,4,5,8,10
14,4,9,9,5,2,9,7,10,8,5,4,10,9,9,9,6,5,9,6
15,5,5,7,8,4,7,6,6.5,7,8,4,8,9,8,7,6,3,8,8
16,5,8,7,8,2,8,9,6.5,7,8,4,8,9,8,7,6,3,8,8
17,3,8,7,6,5,7,7,8,7,9,5,7,9,8,7,9,5,7,9
18,7,8,8,8,10,7,8,9,9,8,6,8,10,9,10,8,5,9,9
19,3,7,6,7,5,7,8,8,7,9,5,7,9,8,7,9,5,7,9
20,7,10,8,8,5,10,10,9,9,8,6,9,10,9,10,8,5,9,9
21,6,9,6,6,4,8,10,10,8,4,5,8,10,10,8,4,5,8,10
22,2,8,7,8,7,8,8,9,7,5,6,8,9,9,7,6,6,9,9
23,1,2,6,2,7,10,9,4,7.5,4.7,7,9,9,6,9,4,3,9,9
24,2,9,9,5,4,9,8,9,7,5,6,8,9,9,7,6,6,9,9
25,1,7,8,3,7,9,10,7,7,3,7,9,10,6,9,4,3,9,9
26,4,10,9,8,2,9,5,10,8,5,4,10,9,9,9,6,5,9,6